Date/Time,Cooling:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly) 
 01/01  01:00:00,111774029.26754223,47808811.53398421,0.0,36545657.73145594,746122165.6661776,169036806.45561665,23356185.55541283 
 01/01  02:00:00,111076264.28055622,46690653.23594977,0.0,36545657.73145594,746122165.6661776,174512531.6754217,23356412.54534798 
 01/01  03:00:00,111848642.37162009,46575671.84821715,0.0,36545657.73145594,746122165.6661776,174512531.6754217,29701171.145548567 
 01/01  04:00:00,109200500.74752018,48802496.18721442,0.0,36545657.73145594,746122165.6661776,174512531.67542174,23356224.80238541 
 01/01  05:00:00,107915875.0932159,49708789.27289355,0.0,36545657.73145594,746122165.6661776,169036806.4556167,23356081.86618307 
 01/01  06:00:00,107710641.47145084,48859327.52368119,0.0,36545657.73145594,746122165.6661776,169036806.45561665,23356299.877703536 
 01/01  07:00:00,107224217.27094755,49173263.45684786,0.0,47289767.18430585,824394452.0555365,174512531.6754217,23558836.532621495 
 01/01  08:00:00,107927275.97492054,48275721.6838268,0.0,46566726.65646302,824394452.0555365,174512531.6754217,29902290.111278728 
 01/01  09:00:00,108559878.78560704,46557813.89907228,0.0,43072650.04700511,824394452.0555365,174512531.6754217,23559185.933049083 
 01/01  10:00:00,109573813.26478335,45577071.32630807,0.0,42562756.778707296,824394452.0555365,169036806.4556167,23558481.619490966 
 01/01  11:00:00,117955958.1833659,43419825.89786638,0.0,42559924.65578557,824394452.0555365,171414115.2429216,55282334.17414412 
 01/01  12:00:00,185670814.1010263,40820607.51959517,0.0,42559924.65578557,824394452.0555365,217631448.7219079,72268504.19119063 
 01/01  13:00:00,244979303.38070887,38034692.50315241,0.0,42559924.65578557,824394452.0555365,223566610.21066675,83998153.59724769 
 01/01  14:00:00,279912165.7476972,34752485.156960115,0.0,42559924.65578557,824394452.0555365,223114650.2375381,93609174.24573077 
 01/01  15:00:00,314912788.9967334,33018021.36361737,0.0,42559924.65578557,824394452.0555365,228490101.1538278,93656815.15835416 
 01/01  16:00:00,286495743.5649649,28594465.48354506,0.0,42649336.63940403,824394452.0555365,222494392.7618652,93557276.4430195 
 01/01  17:00:00,297844463.6844395,24926485.98531644,0.0,43708954.8400367,824394452.0555365,223328303.338291,80854178.05439503 
 01/01  18:00:00,210485657.3061184,30407956.255419023,0.0,48362016.69552845,824394452.0555365,197419270.25981528,74389614.34197849 
 01/01  19:00:00,129377328.33862716,40792356.532796375,0.0,38694479.62202592,746122165.6661776,177250394.28532425,42593710.00777842 
 01/01  20:00:00,120176341.31947398,45674259.477866955,0.0,36545657.73145594,746122165.6661776,169036806.45561668,23559712.960237894 
 01/01  21:00:00,118732745.18450053,45805447.8673428,0.0,36545657.73145594,746122165.6661776,177250394.28532425,29904981.048063878 
 01/01  22:00:00,115402700.97500879,45268221.31417248,0.0,36545657.73145594,746122165.6661776,169036806.45561668,23559184.64524675 
 01/01  23:00:00,115264666.34548403,46108770.593717776,0.0,36545657.73145594,746122165.6661776,174512531.6754217,29904191.781043656 
 01/01  24:00:00,112606368.18125555,46781771.43288111,0.0,36545657.73145594,746122165.6661776,174512531.67542174,23559034.021358166 
 01/02  01:00:00,111955358.85054381,47683010.38941009,0.0,36545657.73145594,836730825.2177298,169036806.4556167,23357048.88297666 
 01/02  02:00:00,111487831.9592961,46515859.04723486,0.0,36545657.73145594,836730825.2177298,169036806.45561665,23356665.45160886 
 01/02  03:00:00,112087819.5004003,43918707.36990905,0.0,36545657.73145594,836730825.2177298,174512531.6754217,23356936.12086176 
 01/02  04:00:00,113931606.99463543,43268687.61079262,0.0,36545657.73145594,836730825.2177298,174512531.6754217,29701956.445042662 
 01/02  05:00:00,111565835.33111423,43408331.34578,0.0,36545657.73145594,836730825.2177298,174512531.6754217,23356786.304958753 
 01/02  06:00:00,135488901.1535963,44309336.637095585,16666954.209953662,38137022.65685523,836730825.2177298,183793205.93626508,59192350.236302815 
 01/02  07:00:00,165186562.36616215,44916380.357745446,533552727.45912,88762776.67582561,941093873.7368754,256423628.00377762,95930767.47932556 
 01/02  08:00:00,155774515.72970346,41979137.395620525,427294099.64197505,279646257.7145797,941093873.7368754,254727385.53811076,94798262.2472291 
 01/02  09:00:00,179133157.20259273,33951227.74703316,190377394.99065462,776464567.441367,1524590982.1435692,263173128.20284063,93972332.29720508 
 01/02  10:00:00,192720017.42208746,35931281.85278747,78196891.62722751,766187918.2276132,1524590982.1435692,270692064.76870096,93647482.1899872 
 01/02  11:00:00,290751833.6055502,33141198.349187084,6758802.327942744,766134049.2768176,1524590982.1435692,285468904.2180229,93666687.84231748 
 01/02  12:00:00,354117865.2786843,26650535.51415035,1429454.3538352535,766134049.2768176,1524590982.1435692,302181080.17475474,93911107.80102889 
 01/02  13:00:00,381396684.37769866,28574519.745503742,479942.5319859316,766134049.2768176,1407891560.4622302,291950727.96814626,94013467.71217069 
 01/02  14:00:00,440147370.7159684,22155788.979804784,0.0,766134049.2768176,1524590982.1435692,306510719.83030844,94543571.86950915 
 01/02  15:00:00,460478197.1622218,17920080.420334864,0.0,766134049.2768176,1524590982.1435692,319170512.1818931,94594527.7384074 
 01/02  16:00:00,469948613.41305697,13222869.297173604,0.0,767677269.4241564,1524590982.1435692,343876198.9450846,94449526.01128083 
 01/02  17:00:00,470788094.87219244,10700720.491142176,0.0,785581345.6160247,1524590982.1435692,340866878.0280619,94306198.09852427 
 01/02  18:00:00,366523424.6463261,23767746.686369598,0.0,483278424.40618616,1057793295.4182142,264523877.68499315,93700671.83902137 
 01/02  19:00:00,335389899.30381256,34728806.02725115,0.0,296653033.108991,941093873.7368754,255780190.2489379,93600600.5009502 
 01/02  20:00:00,288445686.6521622,38511567.87922855,1699589.23740444,296653033.108991,941093873.7368754,253913118.6686407,93558951.86844075 
 01/02  21:00:00,238059412.28964326,41815980.78153626,4238742.282852493,197765105.62937143,941093873.7368754,253269460.43416888,93501706.72717033 
 01/02  22:00:00,211811949.88493785,42362465.25370034,5950497.174761991,197765105.62937143,941093873.7368754,252851149.37639177,93462966.8671965 
 01/02  23:00:00,115452044.41939941,41114105.43048532,0.0,98887927.4796197,941093873.7368754,152609630.79620156,17214356.553167153 
 01/02  24:00:00,115306839.93584451,40101792.021915734,0.0,49438589.07487582,941093873.7368754,152609630.79620153,17214356.553167153 
 01/03  01:00:00,114655699.00385436,40994707.87733441,0.0,38694479.62202592,836730825.2177298,152609630.79620156,17012017.457849614 
 01/03  02:00:00,113868867.06103861,41792701.50409577,0.0,36545657.73145594,836730825.2177298,152609630.79620156,17012017.457849614 
 01/03  03:00:00,113299286.61957715,42423191.88234049,0.0,36545657.73145594,836730825.2177298,152609630.79620153,17012017.457849614 
 01/03  04:00:00,112097069.08563465,44866937.9431597,0.0,36545657.73145594,836730825.2177298,152609630.79620153,17012017.457849614 
 01/03  05:00:00,110914311.32978463,45972864.84017393,0.0,36545657.73145594,836730825.2177298,152609630.79620156,17012017.457849614 
 01/03  06:00:00,125563494.64662102,44086759.74980843,72942355.77459076,38137022.65685523,836730825.2177298,182174448.30248743,51082380.211128585 
 01/03  07:00:00,149994838.5727214,43427476.37573962,497335064.07330346,88762776.67582561,941093873.7368754,261371390.7186588,95173720.67449743 
 01/03  08:00:00,132792392.16073841,43065155.530838266,589834751.7628049,279633605.7481395,941093873.7368754,252900765.89995748,95833956.60234526 
 01/03  09:00:00,152106391.0915987,35381164.19466241,352260974.12911165,776316896.3826163,1524590982.1435692,262137689.99978876,94934141.45422937 
 01/03  10:00:00,162589119.24951237,35574898.84357094,105630776.78610907,766185691.1926992,1524590982.1435692,279816387.84646267,93797612.22007656 
 01/03  11:00:00,276811491.6264398,30381563.6032755,3120692.380537794,766134049.2768176,1524590982.1435692,297388920.94603705,93625234.71192932 
 01/03  12:00:00,361126992.11382955,27583105.252124157,0.0,766134049.2768176,1524590982.1435692,319516575.14744973,93941844.6692593 
 01/03  13:00:00,338435768.8335559,38897008.2646204,0.0,766134049.2768176,1407891560.4622302,304084665.21565306,93848406.75286217 
 01/03  14:00:00,356076166.20793456,38841292.41328859,0.0,766134049.2768176,1524590982.1435692,323526555.4403404,94199299.14548588 
 01/03  15:00:00,399928414.5022172,35056800.320132025,0.0,766134049.2768176,1524590982.1435692,334130843.7499829,94630540.46943912 
 01/03  16:00:00,430269117.06598616,27345677.397911742,0.0,767677295.3575858,1524590982.1435692,358579511.84500235,94638789.86740857 
 01/03  17:00:00,421160618.44811326,24281763.512918793,0.0,785558887.5715864,1524590982.1435692,349245639.79563445,94357910.05758831 
 01/03  18:00:00,332354937.7104316,34059843.57698914,0.0,483237718.91769034,1057793295.4182142,264351768.0146409,93652790.23081462 
 01/03  19:00:00,262073850.9477365,40468016.010981105,20411.32534371106,296653033.108991,941093873.7368754,253989587.4250974,93517539.8043377 
 01/03  20:00:00,210281787.9434661,42522419.650242224,1996387.9302995428,296653033.108991,941093873.7368754,252912000.29337674,93454090.89599295 
 01/03  21:00:00,183868185.317973,40702576.124977954,5085697.46141471,197765105.62937143,941093873.7368754,252447197.57298926,93425614.25149009 
 01/03  22:00:00,169644085.72694173,39830922.997691624,18848027.49735598,197765105.62937143,941093873.7368754,252252596.73631477,93457128.90303001 
 01/03  23:00:00,114306383.7242733,40325728.987618424,0.0,98887927.4796197,941093873.7368754,152609630.79620156,17214356.553167153 
 01/03  24:00:00,114324468.2276056,40138344.26463873,0.0,49438589.07487582,941093873.7368754,152609630.79620156,17214356.553167153 
 01/04  01:00:00,113423019.53527677,41113046.36161361,0.0,38694479.62202592,836730825.2177298,152609630.79620153,17012017.457849614 
 01/04  02:00:00,112596507.80373907,40724065.91079659,0.0,36545657.73145594,836730825.2177298,152609630.79620153,17012017.457849614 
 01/04  03:00:00,112273705.05708659,41677620.210014395,0.0,36545657.73145594,836730825.2177298,152609630.79620153,17012017.457849614 
 01/04  04:00:00,111243537.28304803,42744764.06981275,0.0,36545657.73145594,836730825.2177298,152609630.79620156,17012017.457849614 
 01/04  05:00:00,110436320.87459704,42855823.59048352,0.0,36545657.73145594,836730825.2177298,152609630.79620153,17012017.457849614 
 01/04  06:00:00,118402933.87096532,43491212.540463366,87982838.07202631,38137022.65685523,836730825.2177298,182253732.53645784,41454615.79088436 
 01/04  07:00:00,145485845.13464293,43486202.66784565,630522134.0345931,88762776.67582561,941093873.7368754,263832018.76374605,95964889.68930069 
 01/04  08:00:00,128684441.16092357,42076953.23752232,583748073.3614916,279666506.59585273,941093873.7368754,252314477.97106805,95628762.19499555 
 01/04  09:00:00,145452248.40360695,34211858.704806216,310144694.41080236,776483887.7921437,1524590982.1435692,261939020.69462427,94509774.92604202 
