Date/Time,BASEMENT:Zone Air Temperature [C](Hourly),CORE_BOTTOM:Zone Air Temperature [C](Hourly),CORE_MID:Zone Air Temperature [C](Hourly),CORE_TOP:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](Hourly),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Air Temperature [C](Hourly),DATACENTER_BOT_ZN_6:Zone Air Temperature [C](Hourly),DATACENTER_MID_ZN_6:Zone Air Temperature [C](Hourly),DATACENTER_TOP_ZN_6:Zone Air Temperature [C](Hourly),DATACENTER_BASEMENT_ZN_6:Zone Air Temperature [C](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Cooling:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly) 
 01/01  01:00:00,26.89045966313289,26.45736410422046,23.733451618915822,20.839141655792744,23.163531301124433,23.691166698668138,24.226307853602787,24.568474871842415,19.88943121673002,21.037047394620036,23.42211666042354,21.793039518286182,17.818590661630694,19.003404788042033,21.52135056137355,20.162182566379155,25.20076535289206,22.823129473628825,18.779438177397804,27.000293843021606,27.000177449993704,26.772350322600445,26.999824266554356,363344.96289600694,111774029.26754223,47808811.53398421,0.0,36545657.73145594,746122165.6661776,169036806.45561665,23356185.55541283 
 01/01  02:00:00,26.856931044685297,26.449723582638914,23.722491956291407,20.69769414081457,23.121852919926894,23.598772724891088,24.009255545153422,24.472124866181105,19.874457180148507,20.9612164890148,23.223166294553362,21.719544891031504,17.719817566247556,18.85620248513233,21.216739520191393,20.004926753522295,25.20077364680451,22.840756826973575,18.475805630039222,27.0002636963119,27.00015037565942,26.564418495062622,26.99979440572358,364035.97236604756,111076264.28055622,46690653.23594977,0.0,36545657.73145594,746122165.6661776,174512531.6754217,23356412.54534798 
 01/01  03:00:00,26.761863522629582,26.44176832467582,23.711098199871625,20.541481875967513,23.04104414420624,23.462192041034402,23.756813242229626,24.32379534552962,19.76791948425844,20.777467778183468,22.896891395046485,21.524221619742434,17.51729231758404,18.5787060485853,20.781194992197324,19.717875766115142,25.149975040606805,22.786696831535874,18.112607093837095,27.000337100853198,27.000171500456418,26.35827749032947,26.99999799891171,365878.3811673383,111848642.37162009,46575671.84821715,0.0,36545657.73145594,746122165.6661776,174512531.6754217,29701171.145548567 
 01/01  04:00:00,26.681804321643295,26.42992272916496,23.694584855525633,20.375511489601962,22.908157896195792,23.27619903245189,23.465887342875735,24.12417677053649,19.60880285964084,20.542966615533476,22.53462784212405,21.276066002282125,17.260030254259068,18.247652897659936,20.31041165332287,19.374389057630147,25.09388705188739,22.726491936844678,17.784751400847355,27.000331888293264,27.000163877557526,26.10816899513839,27.00000263085793,363322.2491944477,109200500.74752018,48802496.18721442,0.0,36545657.73145594,746122165.6661776,174512531.67542174,23356224.80238541 
 01/01  05:00:00,26.724283794136806,26.412864539879138,23.67201437653357,20.199580852638274,22.752424648079522,23.070389206930994,23.164743761009067,23.904667097732258,19.42132565307575,20.28383977463878,22.162641980776304,21.003967904776484,16.969456363293595,17.886962951540518,19.825972544763584,19.00002807054626,25.033927933076995,22.661459554619807,17.461577125811747,27.00018350985121,27.000097176683877,25.825284445187737,26.999998717569017,361302.3393354591,107915875.0932159,49708789.27289355,0.0,36545657.73145594,746122165.6661776,169036806.4556167,23356081.86618307 
 01/01  06:00:00,26.828555145673196,26.39278656400282,23.645493242385527,20.02408840882792,22.673605479788296,22.94661543157625,22.947267127929475,23.769411169888727,19.305191010050912,20.102939917302756,21.88277891518077,20.811017858125798,16.749081424604476,17.602343609748505,19.425262622470026,18.697618065175575,24.97307352837926,22.596078834520146,17.15817371851911,27.00012133452159,27.000063671477445,25.585531760441924,27.000001791869803,379355.184687576,107710641.47145084,48859327.52368119,0.0,36545657.73145594,746122165.6661776,169036806.45561665,23356299.877703536 
 01/01  07:00:00,26.80248981496,26.458578229978453,23.713489514077555,19.955583511873723,22.658684969385376,22.888501466218397,22.79457722814892,23.699038967685127,19.26018224934163,19.994837983125063,21.67732066977223,20.689682433884055,16.608298509243983,17.396299573671207,19.108475769143812,18.4690077381088,24.91713745417,22.53570144724679,16.899559316900366,27.000072862398625,27.00003779760674,25.366725629801262,26.999988687022196,478094.20203214884,107224217.27094755,49173263.45684786,0.0,47289767.18430585,824394452.0555365,174512531.6754217,23558836.532621495 
 01/01  08:00:00,26.570308070307078,26.487632902902686,23.7428591582492,19.854322662800246,22.665235945726995,23.735170321720293,23.087075944670676,23.650721345027964,19.234573837068023,20.775788159782895,21.908323761002947,20.591163169442083,16.48818041722191,18.063936263991582,19.228175807779465,18.268092302014328,24.87355164094092,22.48728975409298,16.71023102257406,27.00000888407871,27.00000623075724,25.16763706372934,26.99999433688012,468296.86035802495,107927275.97492054,48275721.6838268,0.0,46566726.65646302,824394452.0555365,174512531.6754217,29902290.111278728 
 01/01  09:00:00,26.498987399742806,26.527284491040806,23.7780345640052,19.79638038529173,22.855277950462295,25.786121954940484,24.435131847982717,23.790755364452338,19.39573710716871,22.887904221858378,23.218816157283168,20.688445884448594,16.583981474761167,20.07142598338311,20.410522746684915,18.29200684895004,24.86685781384701,22.47817285484696,16.896007254127056,27.000134301700243,27.000037499218195,25.060981554170507,27.000026496797087,458802.9499166776,108559878.78560704,46557813.89907228,0.0,43072650.04700511,824394452.0555365,174512531.6754217,23559185.933049083 
 01/01  10:00:00,26.788499619543277,26.56965148840706,23.815437435740122,19.904876285240498,23.128472202998342,26.89621193416903,25.81948757198332,24.01593495388364,19.63335753514065,24.09427826580783,24.692410447336893,20.856037568754054,16.842848929583766,21.31222699028862,21.916598787942053,18.490731866919997,24.891992574212065,22.500556130942524,17.69855757622416,27.000244378539644,27.000084524783023,25.139610215018976,27.000049283283044,425517.5242329985,109573813.26478335,45577071.32630807,0.0,42562756.778707296,824394452.0555365,169036806.4556167,23558481.619490966 
 01/01  11:00:00,26.889702689133383,26.265077024530797,23.85344127279238,20.174417554699158,23.27653076909064,26.738866568842713,26.76953014441339,24.12517116074142,19.980573824340983,24.518540508660184,26.23623803861722,21.165142280515912,17.33473226818555,21.880676280705455,23.610260738586422,18.93803911426681,25.016397971288693,22.566615838105943,18.884842297885907,27.00029191209431,27.000128882638247,25.44438183439276,27.000068918359272,407206.45781750325,117955958.1833659,43419825.89786638,0.0,42559924.65578557,824394452.0555365,171414115.2429216,55282334.17414412 
 01/01  12:00:00,26.784903331165292,25.37199495038151,23.137630555367576,20.513663503386216,23.10395321868501,25.52989723364644,26.88023489480862,23.93015142400255,19.99118533483778,23.627517896282967,26.794243107707945,21.105785275426737,17.905703434937237,21.80212735780657,25.266621499075196,19.48641961534585,25.091510171055408,22.780515182053566,20.117524166232197,27.000447688836854,27.000226224510598,25.870844492828628,27.000761218723138,461615.2589755238,185670814.1010263,40820607.51959517,0.0,42559924.65578557,824394452.0555365,217631448.7219079,72268504.19119063 
 01/01  13:00:00,26.860803581505696,25.141172064056217,22.711714743751333,20.86319485340169,23.173309381959722,24.79888711256341,26.870624210439683,24.03560601906158,20.09314268523087,22.837668406514478,26.85046700792387,21.211897128059206,18.49270870680138,21.58654403326483,26.69079550871885,20.107299401867618,25.126183688060028,22.87380634456377,21.20402300311559,27.000371543965443,27.000232410867337,26.376834278338094,27.002854357338062,483829.5423620695,244979303.38070887,38034692.50315241,0.0,42559924.65578557,824394452.0555365,223566610.21066675,83998153.59724769 
 01/01  14:00:00,26.868565680934307,25.176456332514107,22.710726453924735,20.500396955083094,23.426168120672656,24.836088842018395,27.10494423020063,24.835342651563355,20.383983119252047,22.830562458635445,27.1124927106043,22.040787528610846,18.774808523125927,21.241569793431008,26.689933587215506,20.766927975023563,25.18587145617268,22.97876351862754,21.8607469127188,27.00012762533566,27.000114437507033,26.893505514006176,27.00390459565412,495188.8216618336,279912165.7476972,34752485.156960115,0.0,42559924.65578557,824394452.0555365,223114650.2375381,93609174.24573077 
 01/01  15:00:00,26.860451181637043,25.117639695852066,22.64934220417031,20.438013410942748,23.484284162155998,24.770708507335346,26.899411939706184,25.985285262373154,20.529773805256784,22.753366356614183,26.917853322406117,23.30399318100984,19.07499085314181,21.24887130305801,26.881382734352638,22.150805698405488,25.286022096821682,23.075591709047178,22.134482805030824,27.00014709464835,27.000115334565795,27.000032099474605,27.004178501402446,505989.1400994058,314912788.9967334,33018021.36361737,0.0,42559924.65578557,824394452.0555365,228490101.1538278,93656815.15835416 
 01/01  16:00:00,26.880874366080665,25.130832614985916,22.648732506503908,20.57413611325234,23.57394726389435,24.749419642197058,27.001855901588456,26.781288606784727,20.66484747817805,22.710856624313916,27.038171831042387,24.532536771940396,19.279646603017156,21.288412665881157,26.680456727004046,23.405143637771335,25.356608636738624,23.14764416082748,22.273391203792244,27.00031737096168,27.0002074303374,27.00000014841208,27.004216095894705,495282.37222032907,286495743.5649649,28594465.48354506,0.0,42649336.63940403,824394452.0555365,222494392.7618652,93557276.4430195 
