Date/Time,Cooling:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,0.0,254300092.4437831,11656115.239317864,79472635.82437395,37410903.661290735,5987799.176932977,244662807.51568696,244662807.51568797,283704676.4437831 
 01/01  02:00:00,0.0,205986732.5415212,11656115.239317864,72776509.29434878,33106276.137355864,5987799.176932977,219930496.06635174,219930496.06635284,235391316.5415212 
 01/01  03:00:00,0.0,214078892.05022758,11656115.239317864,69428446.02933633,33857872.2868603,5987799.176932977,219919917.1654511,219919917.16545212,243483476.05022758 
 01/01  04:00:00,0.0,219990134.0751221,11656115.239317864,67754414.39683005,34406793.42897412,5987799.176932977,220750640.5277999,220750640.52780098,249394718.0751221 
 01/01  05:00:00,0.0,217459989.9254808,16975375.727318894,71432354.39683005,34170579.64133404,5987799.176932977,228793370.670378,228793370.67037895,246864573.9254808 
 01/01  06:00:00,0.0,199428957.90275997,26284081.875110786,87158392.55936149,32518780.81040333,5987799.176932977,246822402.48044178,246822402.48044276,228833541.90275997 
 01/01  07:00:00,0.0,169092230.572872,27613896.938352972,120284500.51693058,29624058.518535018,5987799.176932977,268792840.7184458,268792840.7184469,404937891.9765506 
 01/01  08:00:00,0.0,166426433.61004016,26284081.875110786,146054728.47449982,29402235.53304614,5987799.176932977,272320934.1735379,272320934.17353886,444816791.77240485 
 01/01  09:00:00,0.0,154869178.40255117,16975375.727318894,147728760.107006,28143293.457682364,5987799.176932977,252448458.27421936,252448458.27422035,428321198.30471885 
 01/01  10:00:00,0.0,103567503.10392478,14315745.365802372,138368971.73951268,22998103.463515606,5987799.176932977,217178647.11959788,217178647.11959895,330123606.33800495 
 01/01  11:00:00,0.0,70252623.6935148,14315745.365802372,127005275.00452524,19703109.04767592,5987799.176932977,190921584.92255008,190921584.92255104,289482242.9230819 
 01/01  12:00:00,0.0,67351902.82948554,14315745.365802372,128679306.63703147,19476724.272309057,5987799.176932977,191574009.5172782,191574009.51727915,244695396.0425706 
 01/01  13:00:00,0.0,76108651.27508593,14315745.365802372,127005275.00452524,20352746.394555405,5987799.176932977,193783657.4976799,193783657.49768087,219809686.69976413 
 01/01  14:00:00,0.0,85235183.79675868,14315745.365802372,121983180.10700601,21263440.916259848,5987799.176932977,192715589.52313876,192715589.52313974,226146455.23562798 
 01/01  15:00:00,0.0,85887196.14739552,14315745.365802372,120309148.4744998,21306259.409047015,5987799.176932977,191251418.37508228,191251418.37508327,196881937.30910677 
 01/01  16:00:00,0.0,84420739.20371966,18305191.025593143,125331243.3720189,21170655.251589015,5987799.176932977,199805969.8213692,199805969.82137018,225240472.9502502 
 01/01  17:00:00,0.0,89847617.75555484,27613896.938352972,160131382.9620943,21762800.843008988,5987799.176932977,260634476.37419653,260634476.37419754,234375918.14370197 
 01/01  18:00:00,0.0,111447230.6811328,35592787.787870474,204645835.6122203,24009838.972989533,5987799.176932977,337582503.55463314,337582503.55463403,327815591.51844066 
 01/01  19:00:00,0.0,136278588.87752774,44901493.93566237,204645835.6122203,26426902.104545247,5987799.176932977,357669769.0262639,357669769.02626115,364480526.5181211 
 01/01  20:00:00,0.0,150466114.39380613,51550569.72193773,185571734.18467608,27830159.382168256,5987799.176932977,351098038.6884081,351098038.688409,375093950.83096313 
 01/01  21:00:00,0.0,127020559.42710224,51550569.72193773,178875607.65465096,25413047.03541763,5987799.176932977,333597296.53135765,333597296.53135854,345396653.6855735 
