Date/Time,G SW APARTMENT:Zone Air Temperature [C](Hourly),G NW APARTMENT:Zone Air Temperature [C](Hourly),OFFICE:Zone Air Temperature [C](Hourly),G NE APARTMENT:Zone Air Temperature [C](Hourly),G N1 APARTMENT:Zone Air Temperature [C](Hourly),G N2 APARTMENT:Zone Air Temperature [C](Hourly),G S1 APARTMENT:Zone Air Temperature [C](Hourly),G S2 APARTMENT:Zone Air Temperature [C](Hourly),G CORRIDOR:Zone Air Temperature [C](Hourly),F2 SW APARTMENT:Zone Air Temperature [C](Hourly),F2 NW APARTMENT:Zone Air Temperature [C](Hourly),F2 SE APARTMENT:Zone Air Temperature [C](Hourly),F2 NE APARTMENT:Zone Air Temperature [C](Hourly),F2 N1 APARTMENT:Zone Air Temperature [C](Hourly),F2 N2 APARTMENT:Zone Air Temperature [C](Hourly),F2 S1 APARTMENT:Zone Air Temperature [C](Hourly),F2 S2 APARTMENT:Zone Air Temperature [C](Hourly),F2 CORRIDOR:Zone Air Temperature [C](Hourly),F3 SW APARTMENT:Zone Air Temperature [C](Hourly),F3 NW APARTMENT:Zone Air Temperature [C](Hourly),F3 SE APARTMENT:Zone Air Temperature [C](Hourly),F3 NE APARTMENT:Zone Air Temperature [C](Hourly),F3 N1 APARTMENT:Zone Air Temperature [C](Hourly),F3 N2 APARTMENT:Zone Air Temperature [C](Hourly),F3 S1 APARTMENT:Zone Air Temperature [C](Hourly),F3 S2 APARTMENT:Zone Air Temperature [C](Hourly),F3 CORRIDOR:Zone Air Temperature [C](Hourly),F4 SW APARTMENT:Zone Air Temperature [C](Hourly),F4 NW APARTMENT:Zone Air Temperature [C](Hourly),F4 SE APARTMENT:Zone Air Temperature [C](Hourly),F4 NE APARTMENT:Zone Air Temperature [C](Hourly),F4 N1 APARTMENT:Zone Air Temperature [C](Hourly),F4 N2 APARTMENT:Zone Air Temperature [C](Hourly),F4 S1 APARTMENT:Zone Air Temperature [C](Hourly),F4 S2 APARTMENT:Zone Air Temperature [C](Hourly),F4 CORRIDOR:Zone Air Temperature [C](Hourly),M SW APARTMENT:Zone Air Temperature [C](Hourly),M NW APARTMENT:Zone Air Temperature [C](Hourly),M SE APARTMENT:Zone Air Temperature [C](Hourly),M NE APARTMENT:Zone Air Temperature [C](Hourly),M N1 APARTMENT:Zone Air Temperature [C](Hourly),M N2 APARTMENT:Zone Air Temperature [C](Hourly),M S1 APARTMENT:Zone Air Temperature [C](Hourly),M S2 APARTMENT:Zone Air Temperature [C](Hourly),M CORRIDOR:Zone Air Temperature [C](Hourly),F6 SW APARTMENT:Zone Air Temperature [C](Hourly),F6 NW APARTMENT:Zone Air Temperature [C](Hourly),F6 SE APARTMENT:Zone Air Temperature [C](Hourly),F6 NE APARTMENT:Zone Air Temperature [C](Hourly),F6 N1 APARTMENT:Zone Air Temperature [C](Hourly),F6 N2 APARTMENT:Zone Air Temperature [C](Hourly),F6 S1 APARTMENT:Zone Air Temperature [C](Hourly),F6 S2 APARTMENT:Zone Air Temperature [C](Hourly),F6 CORRIDOR:Zone Air Temperature [C](Hourly),F7 SW APARTMENT:Zone Air Temperature [C](Hourly),F7 NW APARTMENT:Zone Air Temperature [C](Hourly),F7 SE APARTMENT:Zone Air Temperature [C](Hourly),F7 NE APARTMENT:Zone Air Temperature [C](Hourly),F7 N1 APARTMENT:Zone Air Temperature [C](Hourly),F7 N2 APARTMENT:Zone Air Temperature [C](Hourly),F7 S1 APARTMENT:Zone Air Temperature [C](Hourly),F7 S2 APARTMENT:Zone Air Temperature [C](Hourly),F7 CORRIDOR:Zone Air Temperature [C](Hourly),F8 SW APARTMENT:Zone Air Temperature [C](Hourly),F8 NW APARTMENT:Zone Air Temperature [C](Hourly),F8 SE APARTMENT:Zone Air Temperature [C](Hourly),F8 NE APARTMENT:Zone Air Temperature [C](Hourly),F8 N1 APARTMENT:Zone Air Temperature [C](Hourly),F8 N2 APARTMENT:Zone Air Temperature [C](Hourly),F8 S1 APARTMENT:Zone Air Temperature [C](Hourly),F8 S2 APARTMENT:Zone Air Temperature [C](Hourly),F8 CORRIDOR:Zone Air Temperature [C](Hourly),F9 SW APARTMENT:Zone Air Temperature [C](Hourly),F9 NW APARTMENT:Zone Air Temperature [C](Hourly),F9 SE APARTMENT:Zone Air Temperature [C](Hourly),F9 NE APARTMENT:Zone Air Temperature [C](Hourly),F9 N1 APARTMENT:Zone Air Temperature [C](Hourly),F9 N2 APARTMENT:Zone Air Temperature [C](Hourly),F9 S1 APARTMENT:Zone Air Temperature [C](Hourly),F9 S2 APARTMENT:Zone Air Temperature [C](Hourly),F9 CORRIDOR:Zone Air Temperature [C](Hourly),T SW APARTMENT:Zone Air Temperature [C](Hourly),T NW APARTMENT:Zone Air Temperature [C](Hourly),T SE APARTMENT:Zone Air Temperature [C](Hourly),T NE APARTMENT:Zone Air Temperature [C](Hourly),T N1 APARTMENT:Zone Air Temperature [C](Hourly),T N2 APARTMENT:Zone Air Temperature [C](Hourly),T S1 APARTMENT:Zone Air Temperature [C](Hourly),T S2 APARTMENT:Zone Air Temperature [C](Hourly),T CORRIDOR:Zone Air Temperature [C](Hourly),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:NaturalGas [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly) 
 01/01  01:00:00,21.686033658768135,21.687496227190792,15.743996638434075,21.691136400791148,21.693073301159753,21.693123382066553,21.692043183538473,21.69062837357255,18.880596419940133,21.680068041221812,21.68366786455745,21.685544314357315,21.68786279598214,21.69064195051059,21.69070790233635,21.590326900255317,21.60248573161411,20.768020797490124,21.67924957616455,21.683203764340874,21.68507393482755,21.68761093098006,21.69048902938471,21.690550895098266,21.578118503304417,21.574342581590425,21.376782441385682,21.678885119142926,21.683150536221174,21.684574437648095,21.687631444618837,21.69036891334372,21.690433414773725,21.582917266408682,21.590356839587745,21.480871012893317,21.678742366636076,21.6831986642562,21.6844349768756,21.687702949993444,21.690292773191203,21.690360653217503,21.637572445589292,21.569567133329926,21.46944736054669,21.678681030878323,21.68327482732851,21.684248488063425,21.687797394381775,21.690242413169614,21.69031346857488,21.57151895818741,21.57940668135604,21.434699712104496,21.67862975383355,21.683361612467092,21.684052467906987,21.68789983900139,21.690201683718172,21.690275417563374,21.546927672877615,21.554156284350668,21.39153359057698,21.678681208775153,21.683463405247576,21.68378780831436,21.688008590020463,21.690167586213267,21.690244007537004,21.65401436397217,21.60962498668508,21.32478675562044,21.678884207275306,21.683249569575704,21.683328078999544,21.688162973553478,21.689859251037333,21.689938531564067,21.62712847378881,21.62896563736696,21.18250654675201,21.677466086635146,21.679777374292108,21.680591951156043,21.685382781094546,21.687705276455432,21.68793959532409,21.684867011071766,21.684842600047162,20.272885862823635,67961.89097657999,0.0,254300092.4437831,11656115.239317864,79472635.82437395,37410903.661290735,5987799.176932977 
 01/01  02:00:00,21.686762678825943,21.687450869029004,15.600555521128069,21.691187705738063,21.693179142934177,21.693226867325723,21.69235640770004,21.69095541905812,19.004437285140902,21.680865097134905,21.683778183428416,21.68647184411122,21.68805938123025,21.6910410843147,21.69109452579845,21.561617265609122,21.583651691917673,20.862921275370923,21.680653932502626,21.68339851628555,21.687708048215,21.68802714062475,21.691212346943953,21.69125539709966,21.47525515425647,21.466280968330715,21.503514344119942,21.68053144764641,21.68331786252518,21.687856734184894,21.68806521637919,21.691244484261492,21.691285497961193,21.51659448770961,21.532818384246262,21.623623238184738,21.68048445680926,21.683298051090404,21.687814050073182,21.68807015557031,21.691240290662186,21.691280996763126,21.50735931041799,21.511353224745633,21.630237775708938,21.680487879165813,21.683292202830437,21.687778979691394,21.68807279464896,21.691228318659093,21.69126908441015,21.45518590754866,21.47490194067564,21.60992176294398,21.68050710919819,21.68329030586002,21.68773434783127,21.688070406068675,21.69121440906069,21.691255252151542,21.405898951393937,21.423894485704917,21.579085637529825,21.680452571921535,21.683285265141112,21.687611888208032,21.688042934082787,21.69115463964802,21.69119614455279,21.50768398242207,21.582804650344485,21.527441112666107,21.68115986660868,21.682981879711793,21.6875227671767,21.687906773817353,21.690722416512056,21.690766696887295,21.574872159868292,21.576948930171408,21.38694273312116,21.677918007887662,21.679460133325264,21.680499424189804,21.684673528729967,21.687806919734804,21.68799997096531,21.686173161657653,21.68616097549063,20.222012112553337,61091.804462875785,0.0,205986732.5415212,11656115.239317864,72776509.29434878,33106276.137355864,5987799.176932977 
 01/01  03:00:00,21.68680111972248,21.687494078672863,15.600000549632442,21.691208154478986,21.69318934966787,21.69323713332922,21.692223241421352,21.690892997812014,19.050796725712146,21.68171213117933,21.68390051970552,21.68646033149642,21.688099503840323,21.69104629570353,21.691101124418644,21.570405354259126,21.5555227872861,20.833100418338297,21.680897385878946,21.68354624168276,21.68751124200656,21.68805292991201,21.69121197081176,21.69125627576681,21.51179314291798,21.50624664392066,21.44722408641715,21.680807929625274,21.683469422952335,21.687835667971576,21.68808790536537,21.691245224091244,21.69128739512504,21.413777101994583,21.42911705514693,21.567349197042173,21.680790320158714,21.683448667721304,21.68781729108015,21.688092600859022,21.691241040456237,21.69128287947475,21.4767628567704,21.41054469801682,21.576095625809593,21.68073738389765,21.68344100650298,21.687750718819217,21.688095342058897,21.69122873017448,21.69127062567538,21.505189530534324,21.51238539414582,21.557624151488973,21.680767933849452,21.683436805731233,21.68765507818596,21.688093152357634,21.69121359399015,21.691255592675045,21.610173315660496,21.573487690821036,21.529519318805907,21.681061339096345,21.683426793467966,21.68742833343523,21.688066018847763,21.69115233966059,21.69119502454909,21.599472897588996,21.570020271345406,21.483035798542794,21.681657953638535,21.683121526816656,21.687517659604346,21.687933356021972,21.690703404073304,21.690749498726603,21.551914970833643,21.55439356613972,21.333625577083705,21.678123041990013,21.679718421171245,21.680809913589954,21.68486531625136,21.68792865009473,21.688139366298557,21.685775850977745,21.685759654012443,20.011864772058644,61088.86587929225,0.0,214078892.05022758,11656115.239317864,69428446.02933633,33857872.2868603,5987799.176932977 
 01/01  04:00:00,21.686835684058433,21.687518616061023,15.600000000575678,21.691221807694507,21.69320452490983,21.693252081344458,21.692059758138843,21.690901168972452,19.09223587215162,21.682204605829156,21.683986728007458,21.686456122816416,21.688134442784342,21.691064865761227,21.691120232051087,21.55643005366169,21.53397458860294,20.809945606238198,21.68176363541794,21.683656531709143,21.687405782569016,21.688082156899917,21.69123162684429,21.691276465193056,21.574520852631842,21.59838094154916,21.399321673353352,21.681484201454325,21.683583669213096,21.68769348391045,21.688115671328024,21.691266781366785,21.691309427898,21.574529903172873,21.57888526604171,21.518225492546513,21.681381477836386,21.68356257591057,21.687683571792686,21.688120273161726,21.691262856015513,21.691305153422192,21.54850670524817,21.61399699855951,21.528644216779288,21.681526065199485,21.683553645136186,21.687575050172715,21.688123059500363,21.691250422072873,21.691292769728957,21.606275164979433,21.576239949568947,21.51367175863563,21.68169661396011,21.6835476449942,21.687531001817714,21.688120882632905,21.69123443466902,21.691276901792094,21.592991608009267,21.60557831682567,21.488725312214488,21.681875838894918,21.68353409718458,21.687693279770496,21.688093524194752,21.69117113521861,21.691214318196828,21.57967648312053,21.58128826228999,21.44218006358298,21.681974534271717,21.683229160695,21.687456177244705,21.687961922395395,21.690702660748286,21.69074993380405,21.530295048322245,21.534210876751267,21.279679565515107,21.67824586694173,21.67982193991153,21.680967627650027,21.684955961095064,21.687998581426047,21.688215523404086,21.685627312668416,21.685608983107414,19.882130857381355,61319.6223688336,0.0,219990134.0751221,11656115.239317864,67754414.39683005,34406793.42897412,5987799.176932977 
 01/01  05:00:00,21.68699648567618,21.687542607962996,15.600000000000632,21.691257144820376,21.69327840769995,21.693324387229012,21.69198685793467,21.691360555381166,19.134858076761713,21.682626501856706,21.684075963001256,21.68655321197864,21.688210524721093,21.691179647076638,21.691232512010696,21.549883860674775,21.53251377337564,20.792847943879963,21.68239768419151,21.68379190458558,21.687929322869966,21.68818376384855,21.691380815085743,21.69142332730363,21.595258973106308,21.59588793584839,21.361281212204677,21.68228243532266,21.68372788581504,21.68798618152011,21.688222361039557,21.691424864689168,21.691465184495087,21.615031559832385,21.61755083173722,21.47892574705431,21.682246810186328,21.68370743449496,21.688007404071506,21.688227142950698,21.691422384697375,21.691462351892906,21.60140612740085,21.607995225077005,21.49110490016337,21.6822764327793,21.68369730788447,21.688089089111415,21.688229089676344,21.691409635025686,21.691449653840387,21.59849314404387,21.597684709327375,21.477168443837552,21.68233319791211,21.683689272681914,21.688116473817427,21.688225600925477,21.69139241698279,21.691432580586408,21.58921108209519,21.593677079061756,21.453090013051995,21.68240622764542,21.68367128281125,21.688093601974806,21.688194991712543,21.69132355161401,21.69136448039938,21.576444000688955,21.57835155461154,21.405937144431174,21.6823275669193,21.683359229251447,21.6875724909424,21.688046001094804,21.690819888044313,21.690865584180276,21.536142234522917,21.536998300058688,21.22958402395304,21.67837080329912,21.679834838119476,21.68102813002089,21.684962388257187,21.688021021520854,21.688231696757505,21.6857343188989,21.685716268070358,19.920119210883687,63553.714075105265,0.0,217459989.9254808,16975375.727318894,71432354.39683005,34170579.64133404,5987799.176932977 
 01/01  06:00:00,21.68748244551462,21.68756674476917,15.604128398382816,21.69134319227614,21.693518596299608,21.693559507811038,21.69270205618301,21.692050451470525,19.18524351397484,21.683246425138048,21.684195203338017,21.686862673596952,21.688398144858887,21.6915833296019,21.691626242933605,21.56950106489637,21.56381146840068,20.787649944972138,21.683182686380704,21.684018253581975,21.688748052515535,21.688474476239907,21.691915462817786,21.691948536808678,21.540624040604673,21.57753982898517,21.336035313533603,21.683133847880285,21.68397575532642,21.689099207302768,21.688534618914183,21.69199013538207,21.692021109336732,21.564770993445354,21.569449162745926,21.45279225288943,21.683115352085455,21.683958231934202,21.689129480149553,21.688540355720537,21.69199234776968,21.6920230018401,21.58865814040942,21.59492772056454,21.465562924704052,21.683122444519125,21.683946866738932,21.689096756779104,21.688539366561443,21.691978428380178,21.692009161881916,21.580648475429065,21.54593649371385,21.45218686991739,21.683139074792596,21.68393563061307,21.68903755032961,21.688531199767894,21.691958037445424,21.691988974241017,21.61540846710861,21.6124747786262,21.42855208782163,21.683153922439384,21.683908298362788,21.68891813446094,21.688488674400684,21.691871783588834,21.691903580429937,21.603149006094743,21.59992555310342,21.381062566480463,21.68291303209097,21.683560119897564,21.688167189709453,21.688263438179995,21.69126962220116,21.69130689413113,21.565615472063005,21.567169319462014,21.1926055789748,21.678565375070388,21.679770764674043,21.680997278907824,21.68488923527204,21.688034106646235,21.688218982956904,21.686285906532397,21.686272135681193,20.151183406954072,68561.77846678966,0.0,199428957.90275997,26284081.875110786,87158392.55936149,32518780.81040333,5987799.176932977 
 01/01  07:00:00,21.68831865513709,21.68774068899055,15.637612419130887,21.69155361322246,21.69398426608089,21.69401765712414,21.568501166032487,21.69316752143874,14.521593747680363,21.684175165981927,21.684506453243376,21.687452128204434,21.68885449022723,21.692491520046143,21.692518916691014,21.556129111946916,21.529329213549133,20.792787803567187,21.68428917699914,21.684485052229615,21.69008999640517,21.68910405486681,21.693054380120437,21.693072844552606,21.639851946072532,21.547762674734916,21.321834621883955,21.68430178471014,21.684474498847962,21.690635701174976,21.689199771425436,21.693182832797746,21.693199386438746,21.51648460748841,21.527361331463144,21.436265241115596,21.684298502440715,21.684461722625123,21.690678537918274,21.689207470151064,21.69319309747983,21.693209393496623,21.577703480846182,21.587574954452858,21.44990811803542,21.68429038692716,21.684448864648612,21.69061324328291,21.689201734108856,21.693176766071346,21.69319318653809,21.55705975963643,21.64826982221957,21.437182766389096,21.68427584774387,21.684433166023204,21.690511945615086,21.689185795871207,21.69315027889421,21.69316697902143,21.60517768918873,21.52040159441772,21.415045937578473,21.68423752590035,21.68439106418674,21.690316458193283,21.689122013372323,21.693031374783835,21.693049037108796,21.574162109029402,21.47196577215473,21.367338045233584,21.683806407395323,21.683968929932405,21.68928864413799,21.68875288246709,21.692241212969197,21.692264872082973,21.57423573498038,21.57589188353891,21.169892320611446,21.679008667171843,21.679874922509814,21.681113365993,21.684989562351596,21.68832137124316,21.688466585569,21.687417286315167,21.687410786814482,20.62758279223799,74664.67797734636,0.0,169092230.572872,27613896.938352972,120284500.51693058,29624058.518535018,5987799.176932977 
 01/01  08:00:00,21.688194701762487,21.687737689134664,15.63166413482589,21.69154656444206,21.693888852992593,21.69392438984053,21.55599372850852,21.69299615793389,4.825605240999911,21.684585713237585,21.68463792272193,21.68775315782107,21.689041669191916,21.692780822406583,21.692805389788884,21.615968986150943,21.6037778476312,20.76986201193045,21.68464832354419,21.684607901048402,21.69046561515781,21.68925522185525,21.69330229338928,21.693319546625066,21.523545912297664,21.516414719328893,21.284824858144425,21.684591756730992,21.684561930689032,21.690890751194374,21.68929050256523,21.693365691816627,21.69338184590257,21.55338722812595,21.564027174852928,21.39662403293567,21.684520966890943,21.68451634809343,21.69081478424317,21.689245182298983,21.693317302190064,21.69333377438452,21.538230468286923,21.55124314333218,21.408097117482182,21.68445088485749,21.684475585742305,21.690649512073954,21.689194836091268,21.69325011548265,21.693267190066823,21.504509992780065,21.514744269348178,21.392949819988157,21.684380087242072,21.684435879245953,21.69046071505542,21.689140951096118,21.69317830318134,21.693196081345555,21.465364447877462,21.47707714569909,21.36774688040824,21.684289993868298,21.684373424203926,21.690188704677006,21.689045314420362,21.693019279910008,21.69303838161163,21.54783197536414,21.542975115447554,21.316569552017757,21.68380184110375,21.683941451672744,21.689112498082935,21.688665416136594,21.69219207888156,21.692217531379487,21.614803810729132,21.616093855899123,21.110751537025095,21.67915412637501,21.679878470805562,21.681210000104944,21.685006630900435,21.68841450944222,21.68854957578192,21.687894959045842,21.687892864508534,20.956387731654658,75644.70393709412,0.0,166426433.61004016,26284081.875110786,146054728.47449982,29402235.53304614,5987799.176932977 
 01/01  09:00:00,21.688239261930907,21.687722815843692,15.826740392803574,21.691523116348215,21.693509121628342,21.693554142466738,21.620416650189625,21.69268666193153,12.952445857682577,21.68536796841464,21.68466145065215,21.689167727841827,21.689433310673454,21.692566170146613,21.692601484333075,21.5434071111999,21.621683902602605,20.762561716107157,21.685363487400995,21.6846162395768,21.634010728236532,21.6896690869832,21.69299658722396,21.69302646409715,21.626840648492365,21.615234291708685,21.308212684854396,21.685228710327692,21.684546872683196,21.649129496228618,21.689664842289943,21.69301253357174,21.69304177843431,21.646725085217266,21.65849037326224,21.41944740501129,21.685098684395832,21.684482193943282,21.647517992748796,21.689578008244222,21.69293700011992,21.692966683539055,21.622328482107424,21.63717325258961,21.427013125369253,21.684983687366298,21.684425742300476,21.643216078666025,21.689491169762217,21.692850204339777,21.69288053003065,21.58160089652819,21.597899270086906,21.408433982246436,21.684878930427658,21.684372998929856,21.638233780643493,21.68940474590109,21.692762046475362,21.692793081160758,21.5380081805035,21.548819595923113,21.3801186775126,21.684760831165686,21.684300488511727,21.63108289008551,21.68927584921281,21.692598312559472,21.692630493439616,21.63802930467758,21.66080170584614,21.327942357621016,21.684237025022714,21.683868309877077,21.69064024942341,21.688826619178766,21.69182022855799,21.691857630309865,21.59303336131816,21.59642586726386,21.117796810599536,21.68013048955153,21.679930811101094,21.68232502752834,21.685474758613683,21.688545640685174,21.688677057653205,21.68998185911945,21.690012048334328,21.248023135614623,70124.57174283898,0.0,154869178.40255117,16975375.727318894,147728760.107006,28143293.457682364,5987799.176932977 
 01/01  10:00:00,21.69157271475428,21.687843001596367,16.631568638763,21.69209717678838,21.693894057285927,21.693940167753354,21.661838141743154,21.63396030926085,14.483764539171084,21.483811795221342,21.68518214037021,21.647709294731026,21.69109326069372,21.69311881518324,21.693171166429856,22.210983633645377,22.15453439370448,20.87912158962671,21.502310148666748,21.68523758092237,21.913077297601305,21.69150342917944,21.69364592522133,21.693696267398025,22.376737204319475,22.3695084684462,21.481350865840486,21.503089056822464,21.68516521174365,21.88891075374974,21.69146312769478,21.69366461798377,21.693714366416355,22.395938391783638,22.411488009472933,21.58895532724718,21.498052935204,21.685081209703455,21.875612958368983,21.691317757418467,21.693577879724096,21.693627503247498,22.36874082153868,22.38761114452882,21.595715320557794,21.49062913756794,21.685003940034928,21.839902058451102,21.691173713152253,21.69347813684866,21.69352778614668,22.325826190324108,22.34512035241948,21.576842424897272,21.481581321786805,21.68493038103075,21.7989547629466,21.69103214304596,21.693376229498192,21.693425991743013,22.27929880292629,22.294273742919394,21.548212844481714,21.46859949488297,21.684829226810734,21.88008541781624,21.69083039337813,21.69318875583751,21.693238725780777,22.219607437876164,22.233294047795347,21.498922858356938,21.56185308409409,21.684316842528716,21.626371818974047,21.690122158451175,21.692331146870746,21.692383195973807,21.988825470123988,22.000468448254992,21.28013155731509,21.557248115423725,21.68083294471154,21.543085420957173,21.688086498281,21.689638064610776,21.689771482719124,21.661622745485058,21.67514174419011,21.515663899276383,60327.40197766638,0.0,103567503.10392478,14315745.365802372,138368971.73951268,22998103.463515606,5987799.176932977 
